time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Qualified Strategy,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1751639400,1.17828,1.17836,1.17764,1.17774,1.1774724023636711,NaN,NaN,NaN,NaN,NaN,NaN,1.1823642797552907,1.1803737185655363,1.1783831573757821,1.1774644368266647,1.1765457162775472,1.174555155087793,1.1725645938980387,0,0,0,0,NaN,NaN,0,53.635843536480934,55.835151678321225,NaN,NaN,NaN,NaN
1751640300,1.17774,1.17789,1.17753,1.17783,1.1775123612929812,NaN,NaN,NaN,NaN,1.17789,NaN,1.1824089337552648,1.1804198892363704,1.178430844717476,1.1775128241702941,1.1765948036231122,1.1746057591042178,1.1726167145853235,0,0,0,0,NaN,NaN,0,54.784530135769316,55.76684607496476,NaN,NaN,NaN,NaN
1751641200,1.17782,1.17818,1.1776,1.17782,1.1775605995467782,NaN,NaN,NaN,NaN,NaN,NaN,1.1824506655193396,1.180463052605847,1.1784754396923545,1.1775580798861272,1.1766407200798998,1.1746531071664073,1.1726654942529147,0,0,0,0,NaN,NaN,0,54.62259774931772,55.6720043960417,NaN,NaN,NaN,NaN
1751642100,1.17782,1.17826,1.1777,1.17822,1.1776228503610053,NaN,NaN,NaN,NaN,NaN,NaN,1.1825242361616652,1.1805380905666936,1.1785519449717217,1.177635262389427,1.1767185798071325,1.1747324342121606,1.1727462886171889,0,0,0,0,NaN,NaN,0,59.74779019576821,55.78072444911515,NaN,NaN,NaN,NaN
1751643000,1.17825,1.17836,1.17798,1.17835,1.1776963826063633,NaN,NaN,NaN,NaN,NaN,NaN,1.1826031317591363,1.1806193811073786,1.1786356304556211,1.1777200532317331,1.176804476007845,1.1748207253560876,1.17283697470433,0,0,0,0,NaN,1.17835,0,61.27849288219868,55.87878101205624,NaN,NaN,NaN,NaN
1751643900,1.17836,1.17846,1.17788,1.17788,1.1777508387210216,NaN,NaN,NaN,NaN,NaN,NaN,1.182634020256525,1.1806525998391577,1.1786711794217906,1.177756677690698,1.1768421759596055,1.1748607555422383,1.172879335124871,0,0,0,0,NaN,NaN,0,53.375647863045344,55.79054433929581,NaN,NaN,NaN,NaN
1751644800,1.17786,1.17818,1.17764,1.17803,1.1777886404423579,NaN,NaN,NaN,NaN,NaN,NaN,1.1826725532124007,1.1806935984264837,1.1787146436405667,1.1778012798932205,1.1768879161458743,1.1749089613599573,1.1729300065740402,0,0,0,0,NaN,NaN,0,55.35457775648585,55.68222467152864,NaN,NaN,NaN,NaN
1751645700,1.17802,1.17814,1.1778,1.17814,1.177827584524422,NaN,NaN,NaN,NaN,NaN,NaN,1.1827120532477484,1.1807367051727014,1.1787613570976543,1.1778496579860942,1.1769379588745341,1.174962610799487,1.17298726272444,0,0,0,0,NaN,NaN,0,56.80255510348668,55.61808776291727,NaN,NaN,NaN,NaN
1751646600,1.17814,1.17815,1.17754,1.17754,1.17783584278329,NaN,NaN,NaN,NaN,NaN,NaN,1.1826927356849608,1.1807207525726144,1.1787487694602683,1.1778386234084162,1.176928477356564,1.1749564942442179,1.1729845111318715,0,0,0,0,NaN,NaN,0,47.71261008437182,55.30314870845389,NaN,NaN,NaN,NaN
1751647500,1.17754,1.17762,1.17737,1.17744,1.1778154725577403,NaN,NaN,NaN,NaN,NaN,NaN,1.1826559556267133,1.18068884395502,1.1787217322833266,1.1778138345886988,1.176905936894071,1.1749388252223776,1.1729717135506843,0,0,0,0,NaN,NaN,0,46.38043402062557,54.92912325999283,46.38043402062557,NaN,NaN,NaN
