"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"","2025-07-08 04:00:00 +07","DAILY_FINANCING","Trade ID: 286","USD/THB","","","","","","","","","-0.34160","","","","","","",""
"302","2025-07-08 05:00:06 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CAD","","28187.00","Sell","","","","","","","","","","","","",""
"303","2025-07-08 05:00:06 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CAD","1.36794","28187.00","Sell","4.0175","","","","","0.00000","0.0000","0.0000","","0.7273","8.81480","","8577.08"
"304","2025-07-08 05:30:07 +07","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","194.00","Sell","","","","","","","","","","","","",""
"305","2025-07-08 05:30:07 +07","ORDER_FILL","MARKET_ORDER","GBP/JPY","198.54600","194.00","Sell","0.0299","","","","","0.00000","0.0000","0.0000","","","0.00000","","8577.08"
"306","2025-07-08 06:30:14 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","48432.00","Sell","","","","","","","","","","","","",""
"307","2025-07-08 06:30:14 +07","ORDER_FILL","MARKET_ORDER","USD/CHF","0.79719","48432.00","Sell","5.4672","","","","","0.00000","0.0000","0.0000","","","0.00000","","8577.08"
"308","2025-07-08 07:00:05 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","59278.00","Buy","","","","","","","","","","","","",""
"309","2025-07-08 07:00:05 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65071","59278.00","Buy","2.3711","","","","","0.00000","0.0000","0.0000","","","0.00000","","8577.08"
"310","2025-07-08 07:15:04 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28299.00","Buy","","","","","","","","","","","","",""
"311","2025-07-08 07:15:04 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.36372","28299.00","Buy","2.2639","","","","","0.00000","0.0000","0.0000","","","0.00000","","8577.08"
"312","2025-07-08 07:30:07 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CHF","","48432.00","Buy","","","","","","","","","","","","",""
"313","2025-07-08 07:30:07 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CHF","0.79699","48432.00","Buy","4.5581","","","","","0.00000","0.0000","0.0000","","1.2486","12.09410","","8589.17"
"314","2025-07-08 07:45:06 +07","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","32904.00","Buy","","","","","","","","","","","","",""
"315","2025-07-08 07:45:06 +07","ORDER_FILL","MARKET_ORDER","EUR/USD","1.17456","32904.00","Buy","1.3162","","","","","0.00000","0.0000","0.0000","","","0.00000","","8589.17"
"316","2025-07-08 07:45:07 +07","MARKET_ORDER","CLIENT_ORDER","USD/THB","","1188.00","Sell","","","","","","","","","","","","",""
"317","2025-07-08 07:45:07 +07","ORDER_FILL","MARKET_ORDER","USD/THB","32.54300","1188.00","Sell","0.4197","","","","","0.00000","0.0000","0.0000","","","0.00000","","8589.17"
"318","2025-07-08 08:00:06 +07","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","194.00","Buy","","","","","","","","","","","","",""
"319","2025-07-08 08:00:06 +07","ORDER_FILL","MARKET_ORDER","GBP/JPY","199.21200","194.00","Buy","0.0239","","","","","0.00000","0.0000","0.0000","","","0.00000","","8589.17"
"320","2025-07-08 08:00:13 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/USD","","59278.00","Sell","","","","","","","","","","","","",""
"321","2025-07-08 08:00:13 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/USD","0.65124","59278.00","Sell","2.6675","","","","","0.00000","0.0000","0.0000","","1.0000","31.41730","","8620.59"
"322","2025-07-08 08:15:08 +07","MARKET_ORDER","POSITION_CLOSEOUT","GBP/USD","","28299.00","Sell","","","","","","","","","","","","",""
"323","2025-07-08 08:15:08 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","GBP/USD","1.36203","28299.00","Sell","2.4054","","","","","0.00000","0.0000","0.0000","","1.0000","-47.82530","","8572.76"
"324","2025-07-08 08:45:03 +07","MARKET_ORDER","POSITION_CLOSEOUT","EUR/USD","","32904.00","Sell","","","","","","","","","","","","",""
"325","2025-07-08 08:45:03 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","EUR/USD","1.17388","32904.00","Sell","1.8097","","","","","0.00000","0.0000","0.0000","","1.0000","-22.37470","","8550.39"
"326","2025-07-08 09:01:04 +07","MARKET_ORDER","CLIENT_ORDER","USD/THB","","1183.00","Sell","","","","","","","","","","","","",""
"327","2025-07-08 09:01:04 +07","ORDER_FILL","MARKET_ORDER","USD/THB","32.52500","1183.00","Sell","0.3091","","","","","0.00000","0.0000","0.0000","","","0.00000","","8550.39"
"328","2025-07-08 09:45:08 +07","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","28191.00","Sell","","","","","","","","","","","","",""
"329","2025-07-08 09:45:08 +07","ORDER_FILL","MARKET_ORDER","USD/CAD","1.36517","28191.00","Sell","1.4454","","","","","0.00000","0.0000","0.0000","","","0.00000","","8550.39"
"330","2025-07-08 10:00:09 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","59027.00","Buy","","","","","","","","","","","","",""
"331","2025-07-08 10:00:09 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65144","59027.00","Buy","2.3611","","","","","0.00000","0.0000","0.0000","","","0.00000","","8550.39"
"332","2025-07-08 10:00:09 +07","MARKET_ORDER","CLIENT_ORDER","AUD/CAD","","43221.00","Buy","","","","","","","","","","","","",""
"333","2025-07-08 10:00:09 +07","ORDER_FILL","MARKET_ORDER","AUD/CAD","0.88949","43221.00","Buy","3.9569","","","","","0.00000","0.0000","0.0000","","","0.00000","","8550.39"
"334","2025-07-08 10:45:08 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CAD","","28191.00","Buy","","","","","","","","","","","","",""
"335","2025-07-08 10:45:08 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CAD","1.36501","28191.00","Buy","1.5490","","","","","0.00000","0.0000","0.0000","","0.7290","3.28810","","8553.68"
"336","2025-07-08 11:45:08 +07","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","194.00","Sell","","","","","","","","","","","","",""
"337","2025-07-08 11:45:08 +07","ORDER_FILL","MARKET_ORDER","GBP/JPY","198.90200","194.00","Sell","0.0226","","","","","0.00000","0.0000","0.0000","","","0.00000","","8553.68"
"338","2025-07-08 12:00:10 +07","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","28200.00","Sell","","","","","","","","","","","","",""
"339","2025-07-08 12:00:10 +07","ORDER_FILL","MARKET_ORDER","USD/CAD","1.36525","28200.00","Sell","1.6523","","","","","0.00000","0.0000","0.0000","","","0.00000","","8553.68"
"340","2025-07-08 13:01:04 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/THB","","1175.00","Sell","","","","","","","","","","","","",""
"341","2025-07-08 13:01:04 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/THB","32.47100","1175.00","Sell","0.3256","","","","","0.00000","0.0000","0.0000","","0.0309","-4.54460","","8549.13"
"342","2025-07-08 13:01:04 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/THB","","2371.00","Buy","","","","","","","","","","","","",""
